UPS zone ranges,	zip from,	zip to
22900-22999,22900, 22999
23000-23099,23000, 23099
23100-23199,23100, 23199
23200-23299,23200, 23299
23300-23399,23300, 23399
23400-23499,23400, 23499
23500-23599,23500, 23599
23600-23699,23600, 23699
23700-23799,23700, 23799
23800-23899,23800, 23899
23900-23999,23900, 23999
24000-24099,24000, 24099
24100-24199,24100, 24199
24200-24299,24200, 24299
24300-24399,24300, 24399
24400-24499,24400, 24499
24500-24599,24500, 24599
24600-24699,24600, 24699
24700-24799,24700, 24799
24800-24899,24800, 24899
24900-24999,24900, 24999
25000-25099,25000, 25099
25100-25199,25100, 25199
25200-25299,25200, 25299
25300-25399,25300, 25399
25400-25499,25400, 25499
25500-25599,25500, 25599
25600-25699,25600, 25699
25700-25799,25700, 25799
25800-25899,25800, 25899
25900-25999,25900, 25999
26000-26099,26000, 26099
26100-26199,26100, 26199
26200-26299,26200, 26299
26300-26399,26300, 26399
26400-26499,26400, 26499
26500-26599,26500, 26599
26600-26699,26600, 26699
26700-26799,26700, 26799
26800-26899,26800, 26899
27000-27099,27000, 27099
27100-27199,27100, 27199
27200-27299,27200, 27299
27300-27399,27300, 27399
27400-27499,27400, 27499
27500-27599,27500, 27599
27600-27699,27600, 27699
27700-27799,27700, 27799
27800-27899,27800, 27899
27900-27999,27900, 27999
28000-28099,28000, 28099
28100-28199,28100, 28199
28200-28299,28200, 28299
28300-28399,28300, 28399
28400-28499,28400, 28499
28500-28599,28500, 28599
28600-28699,28600, 28699
28700-28799,28700, 28799
28800-28899,28800, 28899
28900-28999,28900, 28999
29000-29099,29000, 29099
29100-29199,29100, 29199
29200-29299,29200, 29299
29300-29399,29300, 29399
29400-29499,29400, 29499
29500-29599,29500, 29599
29600-29699,29600, 29699
29700-29799,29700, 29799
29800-29899,29800, 29899
29900-29999,29900, 29999
30000-30099,30000, 30099
30100-30199,30100, 30199
30200-30299,30200, 30299
30300-30399,30300, 30399
30400-30499,30400, 30499
30500-30599,30500, 30599
30600-30699,30600, 30699
30700-30799,30700, 30799
30800-30899,30800, 30899
30900-30999,30900, 30999
31000-31099,31000, 31099
31100-31199,31100, 31199
31200-31299,31200, 31299
31300-31399,31300, 31399
31400-31499,31400, 31499
31500-31599,31500, 31599
31600-31699,31600, 31699
31700-31799,31700, 31799
31800-31899,31800, 31899
31900-31999,31900, 31999
32000-32099,32000, 32099
32100-32199,32100, 32199
32200-32299,32200, 32299
32300-32399,32300, 32399
32400-32499,32400, 32499
32500-32599,32500, 32599
32600-32699,32600, 32699
32700-32799,32700, 32799
32800-32899,32800, 32899
32900-32999,32900, 32999
33000-33099,33000, 33099
33100-33199,33100, 33199
33200-33299,33200, 33299
33300-33399,33300, 33399
33400-33499,33400, 33499
33500-33599,33500, 33599
33600-33699,33600, 33699
33700-33799,33700, 33799
33800-33899,33800, 33899
33900-33999,33900, 33999
34100-34199,34100, 34199
34200-34299,34200, 34299
34400-34499,34400, 34499
34600-34699,34600, 34699
34700-34799,34700, 34799
34900-34999,34900, 34999
35000-35099,35000, 35099
35100-35199,35100, 35199
35200-35299,35200, 35299
35400-35499,35400, 35499
35500-35599,35500, 35599
35600-35699,35600, 35699
35700-35799,35700, 35799
35800-35899,35800, 35899
35900-35999,35900, 35999
36000-36099,36000, 36099
36100-36199,36100, 36199
36200-36299,36200, 36299
36300-36399,36300, 36399
36400-36499,36400, 36499
36500-36599,36500, 36599
36600-36699,36600, 36699
36700-36799,36700, 36799
36800-36899,36800, 36899
36900-36999,36900, 36999
37000-37099,37000, 37099
37100-37199,37100, 37199
37200-37299,37200, 37299
37300-37399,37300, 37399
37400-37499,37400, 37499
37500-37599,37500, 37599
37600-37699,37600, 37699
37700-37799,37700, 37799
37800-37899,37800, 37899
37900-37999,37900, 37999
38000-38099,38000, 38099
38100-38199,38100, 38199
38200-38299,38200, 38299
38300-38399,38300, 38399
38400-38499,38400, 38499
38500-38599,38500, 38599
38600-38699,38600, 38699
38700-38799,38700, 38799
38800-38899,38800, 38899
38900-38999,38900, 38999
39000-39099,39000, 39099
39100-39199,39100, 39199
39200-39299,39200, 39299
39300-39399,39300, 39399
39400-39499,39400, 39499
39500-39599,39500, 39599
39600-39699,39600, 39699
39700-39799,39700, 39799
39800-39899,39800, 39899
39900-39999,39900, 39999
40000-40099,40000, 40099
40100-40199,40100, 40199
40200-40299,40200, 40299
40300-40399,40300, 40399
40400-40499,40400, 40499
40500-40599,40500, 40599
40600-40699,40600, 40699
40700-40799,40700, 40799
40800-40899,40800, 40899
40900-40999,40900, 40999
41000-41099,41000, 41099
41100-41199,41100, 41199
41200-41299,41200, 41299
41300-41399,41300, 41399
41400-41499,41400, 41499
41500-41599,41500, 41599
41600-41699,41600, 41699
41700-41799,41700, 41799
41800-41899,41800, 41899
42000-42099,42000, 42099
42100-42199,42100, 42199
42200-42299,42200, 42299
42300-42399,42300, 42399
42400-42499,42400, 42499
42500-42599,42500, 42599
42600-42699,42600, 42699
42700-42799,42700, 42799
43000-43099,43000, 43099
43100-43199,43100, 43199
43200-43299,43200, 43299
43300-43399,43300, 43399
43400-43499,43400, 43499
43500-43599,43500, 43599
43600-43699,43600, 43699
43700-43799,43700, 43799
43800-43899,43800, 43899
43900-43999,43900, 43999
44000-44099,44000, 44099
44100-44199,44100, 44199
44200-44299,44200, 44299
44300-44399,44300, 44399
44400-44499,44400, 44499
44500-44599,44500, 44599
44600-44699,44600, 44699
44700-44799,44700, 44799
44800-44899,44800, 44899
44900-44999,44900, 44999
45000-45099,45000, 45099
45100-45199,45100, 45199
45200-45299,45200, 45299
45300-45399,45300, 45399
45400-45499,45400, 45499
45500-45599,45500, 45599
45600-45699,45600, 45699
45700-45799,45700, 45799
45800-45899,45800, 45899
45900-45999,45900, 45999
46000-46099,46000, 46099
46100-46199,46100, 46199
46200-46299,46200, 46299
46300-46399,46300, 46399
46400-46499,46400, 46499
46500-46599,46500, 46599
46600-46699,46600, 46699
46700-46799,46700, 46799
46800-46899,46800, 46899
46900-46999,46900, 46999
47000-47099,47000, 47099
47100-47199,47100, 47199
47200-47299,47200, 47299
47300-47399,47300, 47399
47400-47499,47400, 47499
47500-47599,47500, 47599
47600-47699,47600, 47699
47700-47799,47700, 47799
47800-47899,47800, 47899
47900-47999,47900, 47999
48000-48099,48000, 48099
48100-48199,48100, 48199
48200-48299,48200, 48299
48300-48399,48300, 48399
48400-48499,48400, 48499
48500-48599,48500, 48599
48600-48699,48600, 48699
48700-48799,48700, 48799
48800-48899,48800, 48899
48900-48999,48900, 48999
49000-49099,49000, 49099
49100-49199,49100, 49199
49200-49299,49200, 49299
49300-49399,49300, 49399
49400-49499,49400, 49499
49500-49599,49500, 49599
49600-49699,49600, 49699
49700-49799,49700, 49799
49800-49899,49800, 49899
49900-49999,49900, 49999
50000-50099,50000, 50099
50100-50199,50100, 50199
50200-50299,50200, 50299
50300-50399,50300, 50399
50400-50499,50400, 50499
50500-50599,50500, 50599
50600-50699,50600, 50699
50700-50799,50700, 50799
50800-50899,50800, 50899
50900-50999,50900, 50999
51000-51099,51000, 51099
51100-51199,51100, 51199
51200-51299,51200, 51299
51300-51399,51300, 51399
51400-51499,51400, 51499
51500-51599,51500, 51599
51600-51699,51600, 51699
52000-52099,52000, 52099
52100-52199,52100, 52199
52200-52299,52200, 52299
52300-52399,52300, 52399
52400-52499,52400, 52499
52500-52599,52500, 52599
52600-52699,52600, 52699
52700-52799,52700, 52799
52800-52899,52800, 52899
53000-53099,53000, 53099
53100-53199,53100, 53199
53200-53299,53200, 53299
53400-53499,53400, 53499
53500-53599,53500, 53599
53700-53799,53700, 53799
53800-53899,53800, 53899
53900-53999,53900, 53999
54000-54099,54000, 54099
54100-54199,54100, 54199
54200-54299,54200, 54299
54300-54399,54300, 54399
54400-54499,54400, 54499
54500-54599,54500, 54599
54600-54699,54600, 54699
54700-54799,54700, 54799
54800-54899,54800, 54899
54900-54999,54900, 54999
55000-55099,55000, 55099
55100-55199,55100, 55199
55300-55399,55300, 55399
55400-55499,55400, 55499
55500-55599,55500, 55599
55600-55699,55600, 55699
55700-55799,55700, 55799
55800-55899,55800, 55899
55900-55999,55900, 55999
56000-56099,56000, 56099
56100-56199,56100, 56199
56200-56299,56200, 56299
56300-56399,56300, 56399
56400-56499,56400, 56499
56500-56599,56500, 56599
56600-56699,56600, 56699
56700-56799,56700, 56799
57000-57099,57000, 57099
57100-57199,57100, 57199
57200-57299,57200, 57299
57300-57399,57300, 57399
57400-57499,57400, 57499
57500-57599,57500, 57599
57600-57699,57600, 57699
57700-57799,57700, 57799
58000-58099,58000, 58099
58100-58199,58100, 58199
58200-58299,58200, 58299
58300-58399,58300, 58399
58400-58499,58400, 58499
58500-58599,58500, 58599
58600-58699,58600, 58699
58700-58799,58700, 58799
58800-58899,58800, 58899
59000-59099,59000, 59099
59100-59199,59100, 59199
59200-59299,59200, 59299
59300-59399,59300, 59399
59400-59499,59400, 59499
59500-59599,59500, 59599
59600-59699,59600, 59699
59700-59799,59700, 59799
59800-59899,59800, 59899
59900-59999,59900, 59999
60000-60099,60000, 60099
60100-60199,60100, 60199
60200-60299,60200, 60299
60300-60399,60300, 60399
60400-60499,60400, 60499
60500-60599,60500, 60599
60600-60699,60600, 60699
60700-60799,60700, 60799
60800-60899,60800, 60899
60900-60999,60900, 60999
61000-61099,61000, 61099
61100-61199,61100, 61199
61200-61299,61200, 61299
61300-61399,61300, 61399
61400-61499,61400, 61499
61500-61599,61500, 61599
61600-61699,61600, 61699
61700-61799,61700, 61799
61800-61899,61800, 61899
61900-61999,61900, 61999
62000-62099,62000, 62099
62200-62299,62200, 62299
62300-62399,62300, 62399
62400-62499,62400, 62499
62500-62599,62500, 62599
62600-62699,62600, 62699
62700-62799,62700, 62799
62800-62899,62800, 62899
62900-62999,62900, 62999
63000-63099,63000, 63099
63100-63199,63100, 63199
63300-63399,63300, 63399
63400-63499,63400, 63499
63500-63599,63500, 63599
63600-63699,63600, 63699
63700-63799,63700, 63799
63800-63899,63800, 63899
63900-63999,63900, 63999
64000-64099,64000, 64099
64100-64199,64100, 64199
64400-64499,64400, 64499
64500-64599,64500, 64599
64600-64699,64600, 64699
64700-64799,64700, 64799
64800-64899,64800, 64899
64900-64999,64900, 64999
65000-65099,65000, 65099
65100-65199,65100, 65199
65200-65299,65200, 65299
65300-65399,65300, 65399
65400-65499,65400, 65499
65500-65599,65500, 65599
65600-65699,65600, 65699
65700-65799,65700, 65799
65800-65899,65800, 65899
66000-66099,66000, 66099
66100-66199,66100, 66199
66200-66299,66200, 66299
66400-66499,66400, 66499
66500-66599,66500, 66599
66600-66699,66600, 66699
66700-66799,66700, 66799
66800-66899,66800, 66899
66900-66999,66900, 66999
67000-67099,67000, 67099
67100-67199,67100, 67199
67200-67299,67200, 67299
67300-67399,67300, 67399
67400-67499,67400, 67499
67500-67599,67500, 67599
67600-67699,67600, 67699
67700-67799,67700, 67799
67800-67899,67800, 67899
67900-67999,67900, 67999
68000-68099,68000, 68099
68100-68199,68100, 68199
68300-68399,68300, 68399
68400-68499,68400, 68499
68500-68599,68500, 68599
68600-68699,68600, 68699
68700-68799,68700, 68799
68800-68899,68800, 68899
68900-68999,68900, 68999
69000-69099,69000, 69099
69100-69199,69100, 69199
69200-69299,69200, 69299
69300-69399,69300, 69399
70000-70099,70000, 70099
70100-70199,70100, 70199
70300-70399,70300, 70399
70400-70499,70400, 70499
70500-70599,70500, 70599
70600-70699,70600, 70699
70700-70799,70700, 70799
70800-70899,70800, 70899
71000-71099,71000, 71099
71100-71199,71100, 71199
71200-71299,71200, 71299
71300-71399,71300, 71399
71400-71499,71400, 71499
71600-71699,71600, 71699
71700-71799,71700, 71799
71800-71899,71800, 71899
71900-71999,71900, 71999
72000-72099,72000, 72099
72100-72199,72100, 72199
72200-72299,72200, 72299
72300-72399,72300, 72399
72400-72499,72400, 72499
72500-72599,72500, 72599
72600-72699,72600, 72699
72700-72799,72700, 72799
72800-72899,72800, 72899
72900-72999,72900, 72999
73000-73099,73000, 73099
73100-73199,73100, 73199
73300-73399,73300, 73399
73400-73499,73400, 73499
73500-73599,73500, 73599
73600-73699,73600, 73699
73700-73799,73700, 73799
73800-73899,73800, 73899
73900-73999,73900, 73999
74000-74099,74000, 74099
74100-74199,74100, 74199
74300-74399,74300, 74399
74400-74499,74400, 74499
74500-74599,74500, 74599
74600-74699,74600, 74699
74700-74799,74700, 74799
74800-74899,74800, 74899
74900-74999,74900, 74999
75000-75099,75000, 75099
75100-75199,75100, 75199
75200-75299,75200, 75299
75300-75399,75300, 75399
75400-75499,75400, 75499
75500-75599,75500, 75599
75600-75699,75600, 75699
75700-75799,75700, 75799
75800-75899,75800, 75899
75900-75999,75900, 75999
76000-76099,76000, 76099
76100-76199,76100, 76199
76200-76299,76200, 76299
76300-76399,76300, 76399
76400-76499,76400, 76499
76500-76599,76500, 76599
76600-76699,76600, 76699
76700-76799,76700, 76799
76800-76899,76800, 76899
76900-76999,76900, 76999
77000-77099,77000, 77099
77200-77299,77200, 77299
77300-77399,77300, 77399
77400-77499,77400, 77499
77500-77599,77500, 77599
77600-77699,77600, 77699
77700-77799,77700, 77799
77800-77899,77800, 77899
77900-77999,77900, 77999
78000-78099,78000, 78099
78100-78199,78100, 78199
78200-78299,78200, 78299
78300-78399,78300, 78399
78400-78499,78400, 78499
78500-78599,78500, 78599
78600-78699,78600, 78699
78700-78799,78700, 78799
78800-78899,78800, 78899
78900-78999,78900, 78999
79000-79099,79000, 79099
79100-79199,79100, 79199
79200-79299,79200, 79299
79300-79399,79300, 79399
79400-79499,79400, 79499
79500-79599,79500, 79599
79600-79699,79600, 79699
79700-79799,79700, 79799
79800-79899,79800, 79899
79900-79999,79900, 79999
80000-80099,80000, 80099
80100-80199,80100, 80199
80200-80299,80200, 80299
80300-80399,80300, 80399
80400-80499,80400, 80499
80500-80599,80500, 80599
80600-80699,80600, 80699
80700-80799,80700, 80799
80800-80899,80800, 80899
80900-80999,80900, 80999
81000-81099,81000, 81099
81100-81199,81100, 81199
81200-81299,81200, 81299
81300-81399,81300, 81399
81400-81499,81400, 81499
81500-81599,81500, 81599
81600-81699,81600, 81699
82000-82099,82000, 82099
82100-82199,82100, 82199
82200-82299,82200, 82299
82300-82399,82300, 82399
82400-82499,82400, 82499
82500-82599,82500, 82599
82600-82699,82600, 82699
82700-82799,82700, 82799
82800-82899,82800, 82899
82900-82999,82900, 82999
83000-83099,83000, 83099
83100-83199,83100, 83199
83200-83299,83200, 83299
83300-83399,83300, 83399
83400-83499,83400, 83499
83500-83599,83500, 83599
83600-83699,83600, 83699
83700-83799,83700, 83799
83800-83899,83800, 83899
84000-84099,84000, 84099
84100-84199,84100, 84199
84200-84299,84200, 84299
84300-84399,84300, 84399
84400-84499,84400, 84499
84500-84599,84500, 84599
84600-84699,84600, 84699
84700-84799,84700, 84799
85000-85099,85000, 85099
85100-85199,85100, 85199
85200-85299,85200, 85299
85300-85399,85300, 85399
85500-85599,85500, 85599
85600-85699,85600, 85699
85700-85799,85700, 85799
85900-85999,85900, 85999
86000-86099,86000, 86099
86300-86399,86300, 86399
86400-86499,86400, 86499
86500-86599,86500, 86599
87000-87099,87000, 87099
87100-87199,87100, 87199
87300-87399,87300, 87399
87400-87499,87400, 87499
87500-87599,87500, 87599
87700-87799,87700, 87799
87800-87899,87800, 87899
87900-87999,87900, 87999
88000-88099,88000, 88099
88100-88199,88100, 88199
88200-88299,88200, 88299
88300-88399,88300, 88399
88400-88499,88400, 88499
88500-88599,88500, 88599
88900-88999,88900, 88999
89000-89099,89000, 89099
89100-89199,89100, 89199
89300-89399,89300, 89399
89400-89499,89400, 89499
89500-89599,89500, 89599
89700-89799,89700, 89799
89800-89899,89800, 89899
90000-90099,90000, 90099
90100-90199,90100, 90199
90200-90299,90200, 90299
90300-90399,90300, 90399
90400-90499,90400, 90499
90500-90599,90500, 90599
90600-90699,90600, 90699
90700-90799,90700, 90799
90800-90899,90800, 90899
91000-91099,91000, 91099
91100-91199,91100, 91199
91200-91299,91200, 91299
91300-91399,91300, 91399
91400-91499,91400, 91499
91500-91599,91500, 91599
91600-91699,91600, 91699
91700-91799,91700, 91799
91800-91899,91800, 91899
91900-91999,91900, 91999
92000-92099,92000, 92099
92100-92199,92100, 92199
92200-92299,92200, 92299
92300-92399,92300, 92399
92400-92499,92400, 92499
92500-92599,92500, 92599
92600-92699,92600, 92699
92700-92799,92700, 92799
92800-92899,92800, 92899
93000-93099,93000, 93099
93100-93199,93100, 93199
93200-93299,93200, 93299
93300-93399,93300, 93399
93400-93499,93400, 93499
93500-93599,93500, 93599
93600-93699,93600, 93699
93700-93799,93700, 93799
93800-93899,93800, 93899
93900-93999,93900, 93999
94000-94099,94000, 94099
94100-94199,94100, 94199
94200-94299,94200, 94299
94300-94399,94300, 94399
94400-94499,94400, 94499
94500-94599,94500, 94599
94600-94699,94600, 94699
94700-94799,94700, 94799
94800-94899,94800, 94899
94900-94999,94900, 94999
95000-95099,95000, 95099
95100-95199,95100, 95199
95200-95299,95200, 95299
95300-95399,95300, 95399
95400-95499,95400, 95499
95500-95599,95500, 95599
95600-95699,95600, 95699
95700-95799,95700, 95799
95800-95899,95800, 95899
95900-95999,95900, 95999
96000-96099,96000, 96099
96100-96199,96100, 96199
97000-97099,97000, 97099
97100-97199,97100, 97199
97200-97299,97200, 97299
97300-97399,97300, 97399
97400-97499,97400, 97499
97500-97599,97500, 97599
97600-97699,97600, 97699
97700-97799,97700, 97799
97800-97899,97800, 97899
97900-97999,97900, 97999
98000-98099,98000, 98099
98100-98199,98100, 98199
98200-98299,98200, 98299
98300-98399,98300, 98399
98400-98499,98400, 98499
98500-98599,98500, 98599
98600-98699,98600, 98699
98800-98899,98800, 98899
98900-98999,98900, 98999
99000-99099,99000, 99099
99100-99199,99100, 99199
99200-99299,99200, 99299
99300-99399,99300, 99399
99400-99499,99400, 99499
